CD,Undeflected-noCD0, , 
 0.0006798866,   -0.07964133, , 
 0.0005314612,   -0.04478662, , 
 0.0005070212,  -0.009935747, , 
 0.0006063366,     0.0249054, , 
 0.0008290826,    0.05973092, , 
  0.001174841,    0.09453493, , 
  0.001643099,     0.1293116, , 
  0.002233251,      0.164055, , 
  0.002944598,     0.1987594, , 
   0.00377635,     0.2334189, , 
  0.004727624,     0.2680278, , 
  0.005797446,     0.3025802, , 
  0.006984751,     0.3370705, , 
  0.008288385,      0.371493, , 
  0.009707105,      0.405842, , 
   0.01123958,     0.4401118, , 
   0.01288439,     0.4742969, , 
   0.01464003,     0.5083917, , 
   0.01650491,     0.5423908, , 
   0.01847736,     0.5762886, , 
   0.02055563,     0.6100798, , 
   0.02273786,     0.6437589, , 
   0.02502215,     0.6773207, , 
    0.0274065,       0.71076, , 
   0.02988884,     0.7440715, , 
     0.032467,     0.7772502, , 
   0.03513878,     0.8102909, , 
   0.03790186,     0.8431886, , 
   0.04075389,     0.8759384, , 
   0.04369242,     0.9085355, , 
   0.04671494,      0.940975, , 
   0.04981888,     0.9732522, , 

