,VLM1 -    5.5°-10.00m/s, , 
   -0.8493439,   -0.05718745, , 
    -0.846722,    0.05290509, , 
   -0.8414886,     0.1438129, , 
   -0.8336644,     0.1989634, , 
   -0.8232802,     0.2344133, , 
    -0.810377,     0.2609456, , 
   -0.7950057,     0.2831764, , 
    -0.777227,     0.3030878, , 
    -0.757111,      0.321358, , 
   -0.7347372,     0.3380497, , 
   -0.7101938,     0.3530252, , 
   -0.6835777,     0.3661421, , 
    -0.654994,     0.3773159, , 
   -0.6245554,     0.3865247, , 
   -0.5923821,     0.3937953, , 
    -0.558601,     0.3991885, , 
   -0.5233455,     0.4027862, , 
   -0.4867547,     0.4046815, , 
    -0.448973,     0.4049729, , 
   -0.4101496,     0.4037609, , 
   -0.3704375,     0.4011487, , 
   -0.3299937,     0.3972499, , 
   -0.2889776,     0.3922115, , 
   -0.2475511,     0.3862838, , 
   -0.2058778,     0.3799286, , 
   -0.1713805,     0.3576708, , 
   -0.1248805,     0.3006111, , 
  -0.07852691,     0.2614761, , 
  -0.03252691,     0.2329345, , 
   0.03252691,     0.2329345, , 
   0.07852691,     0.2614761, , 
    0.1248805,     0.3006111, , 
    0.1713805,     0.3576708, , 
    0.2058778,     0.3799286, , 
    0.2475511,     0.3862838, , 
    0.2889776,     0.3922115, , 
    0.3299937,     0.3972499, , 
    0.3704375,     0.4011487, , 
    0.4101496,     0.4037609, , 
     0.448973,     0.4049729, , 
    0.4867547,     0.4046815, , 
    0.5233455,     0.4027862, , 
     0.558601,     0.3991885, , 
    0.5923821,     0.3937953, , 
    0.6245554,     0.3865247, , 
     0.654994,     0.3773159, , 
    0.6835777,     0.3661421, , 
    0.7101938,     0.3530252, , 
    0.7347372,     0.3380497, , 
     0.757111,      0.321358, , 
     0.777227,     0.3030878, , 
    0.7950057,     0.2831764, , 
     0.810377,     0.2609456, , 
    0.8232802,     0.2344133, , 
    0.8336644,     0.1989634, , 
    0.8414886,     0.1438129, , 
     0.846722,    0.05290509, , 
    0.8493439,   -0.05718745, , 

