,VLM1 -   10.5°-10.00m/s, , 
   -0.8493439,    0.06810562, , 
    -0.846722,     0.1929799, , 
   -0.8414886,     0.3803841, , 
   -0.8336644,     0.5192292, , 
   -0.8232802,     0.6026746, , 
    -0.810377,     0.6575101, , 
   -0.7950057,     0.6973753, , 
    -0.777227,     0.7285822, , 
    -0.757111,     0.7538793, , 
   -0.7347372,     0.7743518, , 
   -0.7101938,     0.7904721, , 
   -0.6835777,     0.8025666, , 
    -0.654994,     0.8109553, , 
   -0.6245554,     0.8159659, , 
   -0.5923821,      0.817919, , 
    -0.558601,      0.817114, , 
   -0.5233455,     0.8138229, , 
   -0.4867547,     0.8082896, , 
    -0.448973,     0.8007324, , 
   -0.4101496,      0.791351, , 
   -0.3704375,     0.7803368, , 
   -0.3299937,     0.7678942, , 
   -0.2889776,     0.7542845, , 
   -0.2475511,     0.7399288, , 
   -0.2058778,     0.7251452, , 
   -0.1713805,     0.6806186, , 
   -0.1248805,     0.5717341, , 
  -0.07852691,     0.4966789, , 
  -0.03252691,     0.4424444, , 
   0.03252691,     0.4424444, , 
   0.07852691,     0.4966789, , 
    0.1248805,     0.5717341, , 
    0.1713805,     0.6806186, , 
    0.2058778,     0.7251452, , 
    0.2475511,     0.7399288, , 
    0.2889776,     0.7542845, , 
    0.3299937,     0.7678942, , 
    0.3704375,     0.7803368, , 
    0.4101496,      0.791351, , 
     0.448973,     0.8007324, , 
    0.4867547,     0.8082896, , 
    0.5233455,     0.8138229, , 
     0.558601,      0.817114, , 
    0.5923821,      0.817919, , 
    0.6245554,     0.8159659, , 
     0.654994,     0.8109553, , 
    0.6835777,     0.8025666, , 
    0.7101938,     0.7904721, , 
    0.7347372,     0.7743518, , 
     0.757111,     0.7538793, , 
     0.777227,     0.7285822, , 
    0.7950057,     0.6973753, , 
     0.810377,     0.6575101, , 
    0.8232802,     0.6026746, , 
    0.8336644,     0.5192292, , 
    0.8414886,     0.3803841, , 
     0.846722,     0.1929799, , 
    0.8493439,    0.06810562, , 

