,VLM1 -    8.3°-10.00m/s, , 
   -0.8493439,   0.001209281, , 
    -0.846722,    0.04045725, , 
   -0.8414886,    0.08457866, , 
   -0.8336644,     0.1170078, , 
   -0.8232802,     0.1401753, , 
    -0.810377,      0.159644, , 
   -0.7950057,     0.1781235, , 
    -0.777227,     0.1968765, , 
    -0.757111,     0.2164134, , 
   -0.7347372,     0.2368431, , 
   -0.7101938,      0.258091, , 
   -0.6835777,     0.2800126, , 
    -0.654994,     0.3024382, , 
   -0.6245554,     0.3251862, , 
   -0.5923821,     0.3480665, , 
    -0.558601,     0.3708808, , 
   -0.5233455,     0.3934248, , 
   -0.4867547,     0.4154895, , 
    -0.448973,     0.4368648, , 
   -0.4101496,      0.457344, , 
   -0.3704375,     0.4767319, , 
   -0.3299937,     0.4948605, , 
   -0.2889776,      0.511626, , 
   -0.2475511,     0.5270827, , 
   -0.2058778,     0.5414247, , 
   -0.1713805,     0.5582216, , 
   -0.1248805,     0.5781481, , 
  -0.07852691,     0.5945829, , 
  -0.03252691,     0.6057558, , 
   0.03252691,     0.6057558, , 
   0.07852691,     0.5945829, , 
    0.1248805,     0.5781481, , 
    0.1713805,     0.5582216, , 
    0.2058778,     0.5414247, , 
    0.2475511,     0.5270827, , 
    0.2889776,      0.511626, , 
    0.3299937,     0.4948605, , 
    0.3704375,     0.4767319, , 
    0.4101496,      0.457344, , 
     0.448973,     0.4368648, , 
    0.4867547,     0.4154895, , 
    0.5233455,     0.3934248, , 
     0.558601,     0.3708808, , 
    0.5923821,     0.3480665, , 
    0.6245554,     0.3251862, , 
     0.654994,     0.3024382, , 
    0.6835777,     0.2800126, , 
    0.7101938,      0.258091, , 
    0.7347372,     0.2368431, , 
     0.757111,     0.2164134, , 
     0.777227,     0.1968765, , 
    0.7950057,     0.1781235, , 
     0.810377,      0.159644, , 
    0.8232802,     0.1401753, , 
    0.8336644,     0.1170078, , 
    0.8414886,    0.08457866, , 
     0.846722,    0.04045725, , 
    0.8493439,   0.001209281, , 

