,VLM1 -    7.3°-10.00m/s, , 
   -0.8493439,   -0.02032044, , 
    -0.846722,     0.1090717, , 
   -0.8414886,     0.2347514, , 
   -0.8336644,     0.3165142, , 
   -0.8232802,     0.3672859, , 
    -0.810377,     0.4030035, , 
   -0.7950057,     0.4310307, , 
    -0.777227,     0.4546823, , 
    -0.757111,     0.4752803, , 
   -0.7347372,      0.493208, , 
   -0.7101938,     0.5085229, , 
   -0.6835777,     0.5212362, , 
    -0.654994,     0.5313985, , 
   -0.6245554,     0.5391059, , 
   -0.5923821,     0.5444853, , 
    -0.558601,     0.5476793, , 
   -0.5233455,     0.5488352, , 
   -0.4867547,     0.5480984, , 
    -0.448973,     0.5456087, , 
   -0.4101496,     0.5415013, , 
   -0.3704375,     0.5359102, , 
   -0.3299937,     0.5289804, , 
   -0.2889776,     0.5208991, , 
   -0.2475511,     0.5119777, , 
   -0.2058778,     0.5026695, , 
   -0.1713805,     0.4725674, , 
   -0.1248805,     0.3970037, , 
  -0.07852691,     0.3450975, , 
  -0.03252691,     0.3074134, , 
   0.03252691,     0.3074134, , 
   0.07852691,     0.3450975, , 
    0.1248805,     0.3970037, , 
    0.1713805,     0.4725674, , 
    0.2058778,     0.5026695, , 
    0.2475511,     0.5119777, , 
    0.2889776,     0.5208991, , 
    0.3299937,     0.5289804, , 
    0.3704375,     0.5359102, , 
    0.4101496,     0.5415013, , 
     0.448973,     0.5456087, , 
    0.4867547,     0.5480984, , 
    0.5233455,     0.5488352, , 
     0.558601,     0.5476793, , 
    0.5923821,     0.5444853, , 
    0.6245554,     0.5391059, , 
     0.654994,     0.5313985, , 
    0.6835777,     0.5212362, , 
    0.7101938,     0.5085229, , 
    0.7347372,      0.493208, , 
     0.757111,     0.4752803, , 
     0.777227,     0.4546823, , 
    0.7950057,     0.4310307, , 
     0.810377,     0.4030035, , 
    0.8232802,     0.3672859, , 
    0.8336644,     0.3165142, , 
    0.8414886,     0.2347514, , 
     0.846722,     0.1090717, , 
    0.8493439,   -0.02032044, , 

