,VLM1 -   14.5°-10.00m/s, , 
   -0.8493439,     0.2110438, , 
    -0.846722,     0.2585524, , 
   -0.8414886,     0.5158411, , 
   -0.8336644,     0.7376531, , 
   -0.8232802,     0.8682947, , 
    -0.810377,     0.9500163, , 
   -0.7950057,       1.00617, , 
    -0.777227,      1.047637, , 
    -0.757111,      1.079312, , 
   -0.7347372,      1.103319, , 
   -0.7101938,      1.120729, , 
   -0.6835777,      1.132305, , 
    -0.654994,      1.138726, , 
   -0.6245554,      1.140625, , 
   -0.5923821,      1.138569, , 
    -0.558601,      1.133059, , 
   -0.5233455,      1.124524, , 
   -0.4867547,      1.113329, , 
    -0.448973,      1.099791, , 
   -0.4101496,      1.084188, , 
   -0.3704375,      1.066782, , 
   -0.3299937,       1.04785, , 
   -0.2889776,      1.027745, , 
   -0.2475511,      1.007013, , 
   -0.2058778,     0.9855953, , 
   -0.1713805,     0.9238053, , 
   -0.1248805,      0.776312, , 
  -0.07852691,     0.6741563, , 
  -0.03252691,     0.6005848, , 
   0.03252691,     0.6005848, , 
   0.07852691,     0.6741563, , 
    0.1248805,      0.776312, , 
    0.1713805,     0.9238053, , 
    0.2058778,     0.9855953, , 
    0.2475511,      1.007013, , 
    0.2889776,      1.027745, , 
    0.3299937,       1.04785, , 
    0.3704375,      1.066782, , 
    0.4101496,      1.084188, , 
     0.448973,      1.099791, , 
    0.4867547,      1.113329, , 
    0.5233455,      1.124524, , 
     0.558601,      1.133059, , 
    0.5923821,      1.138569, , 
    0.6245554,      1.140625, , 
     0.654994,      1.138726, , 
    0.6835777,      1.132305, , 
    0.7101938,      1.120729, , 
    0.7347372,      1.103319, , 
     0.757111,      1.079312, , 
     0.777227,      1.047637, , 
    0.7950057,       1.00617, , 
     0.810377,     0.9500163, , 
    0.8232802,     0.8682947, , 
    0.8336644,     0.7376531, , 
    0.8414886,     0.5158411, , 
     0.846722,     0.2585524, , 
    0.8493439,     0.2110438, , 

