,VLM1 -   14.5°-10.00m/s, , 
   -0.8493439,    0.06141996, , 
    -0.846722,      0.075937, , 
   -0.8414886,     0.1542532, , 
   -0.8336644,     0.2264623, , 
   -0.8232802,      0.275756, , 
    -0.810377,     0.3141983, , 
   -0.7950057,     0.3485269, , 
    -0.777227,     0.3818669, , 
    -0.757111,     0.4155321, , 
   -0.7347372,     0.4499245, , 
   -0.7101938,     0.4850482, , 
   -0.6835777,     0.5207626, , 
    -0.654994,     0.5568773, , 
   -0.6245554,     0.5931778, , 
   -0.5923821,     0.6294295, , 
    -0.558601,     0.6653793, , 
   -0.5233455,     0.7007582, , 
   -0.4867547,      0.735286, , 
    -0.448973,     0.7686783, , 
   -0.4101496,     0.8006565, , 
   -0.3704375,     0.8309637, , 
   -0.3299937,     0.8593934, , 
   -0.2889776,     0.8858512, , 
   -0.2475511,      0.910483, , 
   -0.2058778,     0.9329639, , 
   -0.1713805,     0.9595941, , 
   -0.1248805,     0.9942291, , 
  -0.07852691,      1.021743, , 
  -0.03252691,      1.041029, , 
   0.03252691,      1.041029, , 
   0.07852691,      1.021743, , 
    0.1248805,     0.9942291, , 
    0.1713805,     0.9595941, , 
    0.2058778,     0.9329639, , 
    0.2475511,      0.910483, , 
    0.2889776,     0.8858512, , 
    0.3299937,     0.8593934, , 
    0.3704375,     0.8309637, , 
    0.4101496,     0.8006565, , 
     0.448973,     0.7686783, , 
    0.4867547,      0.735286, , 
    0.5233455,     0.7007582, , 
     0.558601,     0.6653793, , 
    0.5923821,     0.6294295, , 
    0.6245554,     0.5931778, , 
     0.654994,     0.5568773, , 
    0.6835777,     0.5207626, , 
    0.7101938,     0.4850482, , 
    0.7347372,     0.4499245, , 
     0.757111,     0.4155321, , 
     0.777227,     0.3818669, , 
    0.7950057,     0.3485269, , 
     0.810377,     0.3141983, , 
    0.8232802,      0.275756, , 
    0.8336644,     0.2264623, , 
    0.8414886,     0.1542532, , 
     0.846722,      0.075937, , 
    0.8493439,    0.06141996, , 

