,VLM1 -   11.0°-10.00m/s, , 
   -0.8493439,    0.08395718, , 
    -0.846722,     0.2034792, , 
   -0.8414886,     0.4000103, , 
   -0.8336644,     0.5484849, , 
   -0.8232802,     0.6374232, , 
    -0.810377,     0.6954254, , 
   -0.7950057,      0.737228, , 
    -0.777227,     0.7696627, , 
    -0.757111,     0.7957232, , 
   -0.7347372,     0.8166143, , 
   -0.7101938,     0.8328783, , 
   -0.6835777,     0.8448931, , 
    -0.654994,     0.8530221, , 
   -0.6245554,     0.8576302, , 
   -0.5923821,     0.8590683, , 
    -0.558601,     0.8576604, , 
   -0.5233455,     0.8536982, , 
   -0.4867547,     0.8474407, , 
    -0.448973,     0.8391184, , 
   -0.4101496,     0.8289409, , 
   -0.3704375,     0.8171085, , 
   -0.3299937,     0.8038347, , 
   -0.2889776,     0.7893923, , 
   -0.2475511,     0.7742185, , 
   -0.2058778,     0.7585971, , 
   -0.1713805,     0.7118771, , 
   -0.1248805,     0.5980084, , 
  -0.07852691,     0.5194724, , 
  -0.03252691,     0.4627519, , 
   0.03252691,     0.4627519, , 
   0.07852691,     0.5194724, , 
    0.1248805,     0.5980084, , 
    0.1713805,     0.7118771, , 
    0.2058778,     0.7585971, , 
    0.2475511,     0.7742185, , 
    0.2889776,     0.7893923, , 
    0.3299937,     0.8038347, , 
    0.3704375,     0.8171085, , 
    0.4101496,     0.8289409, , 
     0.448973,     0.8391184, , 
    0.4867547,     0.8474407, , 
    0.5233455,     0.8536982, , 
     0.558601,     0.8576604, , 
    0.5923821,     0.8590683, , 
    0.6245554,     0.8576302, , 
     0.654994,     0.8530221, , 
    0.6835777,     0.8448931, , 
    0.7101938,     0.8328783, , 
    0.7347372,     0.8166143, , 
     0.757111,     0.7957232, , 
     0.777227,     0.7696627, , 
    0.7950057,      0.737228, , 
     0.810377,     0.6954254, , 
    0.8232802,     0.6374232, , 
    0.8336644,     0.5484849, , 
    0.8414886,     0.4000103, , 
     0.846722,     0.2034792, , 
    0.8493439,    0.08395718, , 

