            Panels  10.0°-12.00m/s    
   -0.8337263         0.6069333  
   -0.7702244          0.834721  
   -0.6494367          0.875697  
   -0.4831867         0.8304053  
   -0.2877482         0.7484568  
   -0.1713805         0.6311052  
   -0.1248805         0.5344552  
  -0.08583717         0.4631397  
  -0.06283717         0.4363154  
       -0.023          0.393255  
        0.023          0.393255  
   0.06283717         0.4363154  
   0.08583717         0.4631397  
    0.1248805         0.5344552  
    0.1713805         0.6311052  
    0.2877482         0.7484568  
    0.4831867         0.8304053  
    0.6494367          0.875697  
    0.7702244          0.834721  
    0.8337263         0.6069333  

