            Panels   6.5°-12.00m/s    
   -0.8337263         0.1170681  
   -0.7702244         0.1973706  
   -0.6494367         0.2810173  
   -0.4831867         0.3631217  
   -0.2877482         0.4286756  
   -0.1713805         0.4348312  
   -0.1248805         0.4532852  
  -0.08583717         0.4543843  
  -0.06283717         0.4593865  
       -0.023           0.46304  
        0.023           0.46304  
   0.06283717         0.4593865  
   0.08583717         0.4543843  
    0.1248805         0.4532852  
    0.1713805         0.4348312  
    0.2877482         0.4286756  
    0.4831867         0.3631217  
    0.6494367         0.2810173  
    0.7702244         0.1973706  
    0.8337263         0.1170681  

