            Panels  10.0°-12.00m/s    
   -0.8337263         0.1862926  
   -0.7702244         0.3102134  
   -0.6494367         0.4332046  
   -0.4831867         0.5514508  
   -0.2877482         0.6460597  
   -0.1713805         0.6555546  
   -0.1248805         0.6844811  
  -0.08583717         0.6859009  
  -0.06283717         0.6936831  
       -0.023         0.6993887  
        0.023         0.6993887  
   0.06283717         0.6936831  
   0.08583717         0.6859009  
    0.1248805         0.6844811  
    0.1713805         0.6555546  
    0.2877482         0.6460597  
    0.4831867         0.5514508  
    0.6494367         0.4332046  
    0.7702244         0.3102134  
    0.8337263         0.1862926  

